,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
Bcl2,0,1.543623975,0.582,0.327,0,Tprimed,Bcl2
Gm11342,3.94E-49,1.516575048,0.042,0.014,1.30E-44,Tprimed,Gm11342
Fam213b,2.53E-24,1.495428987,0.022,0.008,8.40E-20,Tprimed,Fam213b
Slpi,3.96E-48,1.490901159,0.038,0.012,1.31E-43,Tprimed,Slpi
Fcgrt,6.27E-102,1.467958882,0.104,0.039,2.08E-97,Tprimed,Fcgrt
Gm20300,4.94E-26,1.466617282,0.022,0.007,1.64E-21,Tprimed,Gm20300
Gm26545,1.95E-15,1.451693514,0.013,0.004,6.45E-11,Tprimed,Gm26545
Gm11713,4.99E-101,1.448422074,0.098,0.036,1.65E-96,Tprimed,Gm11713
Zfp953,6.34E-21,1.434106027,0.021,0.008,2.10E-16,Tprimed,Zfp953
Gm26698,3.24E-10,1.433702846,0.011,0.004,1.07E-05,Tprimed,Gm26698
Trove2,5.81E-18,1.426028087,0.021,0.008,1.93E-13,Tprimed,Trove2
Gm43352,3.40E-17,1.416484005,0.019,0.008,1.13E-12,Tprimed,Gm43352
Pltp,3.40E-25,1.414144019,0.03,0.012,1.13E-20,Tprimed,Pltp
Diexf,2.49E-51,1.404897415,0.065,0.028,8.24E-47,Tprimed,Diexf
Zcchc6,5.16E-243,1.404721776,0.266,0.111,1.71E-238,Tprimed,Zcchc6
Trbc1,0,1.402679702,0.526,0.284,0,Tprimed,Trbc1
Gm19325,1.64E-15,1.398902809,0.021,0.009,5.42E-11,Tprimed,Gm19325
Cfap43,2.08E-47,1.393669714,0.056,0.022,6.90E-43,Tprimed,Cfap43
Gm26909,4.50E-10,1.388271511,0.01,0.004,1.49E-05,Tprimed,Gm26909
Gm6793,4.43E-18,1.376330047,0.021,0.009,1.47E-13,Tprimed,Gm6793
Gm43647,6.56E-84,1.373414091,0.071,0.023,2.17E-79,Tprimed,Gm43647
Gm12185,3.21E-31,1.357915084,0.038,0.016,1.06E-26,Tprimed,Gm12185
Gm14296,2.96E-24,1.357765956,0.03,0.013,9.82E-20,Tprimed,Gm14296
2010015M23Rik,2.54E-09,1.357235023,0.012,0.005,8.43E-05,Tprimed,2010015M23Rik
Gm26853,5.53E-64,1.354670939,0.074,0.029,1.83E-59,Tprimed,Gm26853
Trac,0,1.354642928,0.635,0.376,0,Tprimed,Trac
Mkl1,6.40E-90,1.352537635,0.11,0.046,2.12E-85,Tprimed,Mkl1
9030025P20Rik,7.70E-20,1.351615144,0.021,0.008,2.55E-15,Tprimed,9030025P20Rik
Gm4673,1.68E-29,1.342149245,0.035,0.014,5.56E-25,Tprimed,Gm4673
C920006O11Rik,5.83E-14,1.337541032,0.019,0.009,1.93E-09,Tprimed,C920006O11Rik
Fbxl22,2.48E-22,1.329532965,0.028,0.012,8.21E-18,Tprimed,Fbxl22
Gm48855,2.47E-19,1.321720825,0.022,0.009,8.19E-15,Tprimed,Gm48855
2810454H06Rik,2.12E-49,1.314932037,0.053,0.02,7.03E-45,Tprimed,2810454H06Rik
Gm11361,2.93E-24,1.307087613,0.029,0.012,9.72E-20,Tprimed,Gm11361
Gm26724,2.69E-28,1.299014715,0.034,0.014,8.91E-24,Tprimed,Gm26724
Gas7,1.06E-15,1.288207789,0.016,0.006,3.52E-11,Tprimed,Gas7
Utp14b,3.16E-15,1.286433751,0.022,0.01,1.05E-10,Tprimed,Utp14b
Star,3.10E-13,1.281806896,0.015,0.006,1.03E-08,Tprimed,Star
Hpgds,3.30E-23,1.281412565,0.028,0.011,1.09E-18,Tprimed,Hpgds
Espn,8.00E-23,1.279357135,0.027,0.011,2.65E-18,Tprimed,Espn
mt-Nd2,0,1.269463971,0.973,0.961,0,Tprimed,mt-Nd2
Crybg1,1.62E-115,1.263048129,0.166,0.076,5.37E-111,Tprimed,Crybg1
Igfbp4,0,1.26250763,0.37,0.152,0,Tprimed,Igfbp4
Plp1,9.08E-13,1.257500494,0.013,0.005,3.01E-08,Tprimed,Plp1
Mir17hg,2.18E-27,1.256774576,0.044,0.021,7.22E-23,Tprimed,Mir17hg
Apol8,4.21E-09,1.254043765,0.014,0.007,0.000139426,Tprimed,Apol8
Trav14-1,5.25E-215,1.244568585,0.162,0.049,1.74E-210,Tprimed,Trav14-1
Gm33994,3.45E-24,1.244364722,0.033,0.014,1.14E-19,Tprimed,Gm33994
Gm26583,7.36E-11,1.242243357,0.01,0.004,2.44E-06,Tprimed,Gm26583
Zrsr1,3.93E-70,1.241309309,0.085,0.035,1.30E-65,Tprimed,Zrsr1
Gm21781,1.95E-10,1.237970897,0.013,0.006,6.47E-06,Tprimed,Gm21781
Gm14305,6.43E-36,1.235341298,0.045,0.019,2.13E-31,Tprimed,Gm14305
Ighd,5.96E-21,1.223785444,0.03,0.013,1.98E-16,Tprimed,Ighd
Gm26526,7.96E-23,1.22059505,0.031,0.014,2.64E-18,Tprimed,Gm26526
Zbtb18,2.96E-20,1.21114079,0.024,0.01,9.82E-16,Tprimed,Zbtb18
Rps27,0,1.207699782,0.84,0.689,0,Tprimed,Rps27
Unc5a,7.35E-13,1.207121419,0.015,0.006,2.44E-08,Tprimed,Unc5a
Trdv1,5.28E-09,1.202358242,0.012,0.006,0.000175106,Tprimed,Trdv1
Nkd2,1.87E-10,1.199694255,0.013,0.005,6.20E-06,Tprimed,Nkd2
Rps29,0,1.197746017,0.983,0.976,0,Tprimed,Rps29
Rpl23a,0,1.196773721,0.887,0.823,0,Tprimed,Rpl23a
Zfp984,1.88E-54,1.196579879,0.076,0.033,6.22E-50,Tprimed,Zfp984
Bbof1,2.41E-07,1.189893135,0.01,0.004,0.007986057,Tprimed,Bbof1
Gm26511,2.69E-09,1.188483968,0.012,0.005,8.90E-05,Tprimed,Gm26511
Trdv2-2,3.98E-07,1.169394515,0.03,0.02,0.013176932,Tprimed,Trdv2-2
mt-Nd4,0,1.166733094,0.974,0.967,0,Tprimed,mt-Nd4
Fam120aos,7.27E-12,1.165502324,0.018,0.008,2.41E-07,Tprimed,Fam120aos
Gm28707,3.50E-15,1.163122878,0.027,0.013,1.16E-10,Tprimed,Gm28707
Lair1,3.39E-53,1.160602304,0.079,0.036,1.12E-48,Tprimed,Lair1
Tug1,2.31E-106,1.157156649,0.152,0.069,7.66E-102,Tprimed,Tug1
Dyrk4,4.98E-18,1.156882933,0.015,0.005,1.65E-13,Tprimed,Dyrk4
Dopey2,1.50E-60,1.156264088,0.093,0.043,4.97E-56,Tprimed,Dopey2
Tmem57,3.28E-48,1.156192431,0.089,0.045,1.09E-43,Tprimed,Tmem57
D930016D06Rik,3.85E-21,1.14565155,0.033,0.015,1.28E-16,Tprimed,D930016D06Rik
Wdr89,0,1.145027222,0.578,0.356,0,Tprimed,Wdr89
Plekha6,6.95E-13,1.141270564,0.014,0.005,2.30E-08,Tprimed,Plekha6
Mex3a,2.93E-07,1.137332797,0.015,0.008,0.0096995,Tprimed,Mex3a
Gvin1,1.74E-26,1.133888546,0.039,0.018,5.77E-22,Tprimed,Gvin1
Gm42595,3.03E-12,1.133222619,0.016,0.007,1.00E-07,Tprimed,Gm42595
Pou5f2,2.95E-25,1.132345694,0.041,0.019,9.79E-21,Tprimed,Pou5f2
Bace1,3.66E-30,1.131355225,0.048,0.022,1.21E-25,Tprimed,Bace1
Gm2000,4.86E-205,1.128535627,0.362,0.2,1.61E-200,Tprimed,Gm2000
Bbc3,1.12E-135,1.123129753,0.227,0.114,3.73E-131,Tprimed,Bbc3
2900097C17Rik,4.29E-86,1.115675191,0.135,0.064,1.42E-81,Tprimed,2900097C17Rik
2010107E04Rik,0,1.110922833,0.659,0.403,0,Tprimed,2010107E04Rik
Aes,0,1.109456674,0.651,0.404,0,Tprimed,Aes
Gm29994,2.09E-07,1.092132729,0.013,0.007,0.006934744,Tprimed,Gm29994
Rps28,0,1.090377215,0.942,0.894,0,Tprimed,Rps28
Gm19705,2.26E-81,1.090259668,0.13,0.061,7.47E-77,Tprimed,Gm19705
Mut,3.77E-37,1.088810201,0.063,0.03,1.25E-32,Tprimed,Mut
A230050P20Rik,1.48E-42,1.088068179,0.076,0.038,4.91E-38,Tprimed,A230050P20Rik
Rpl41,0,1.08045066,0.992,0.993,0,Tprimed,Rpl41
Rpl38,0,1.078967437,0.985,0.98,0,Tprimed,Rpl38
Malat1,0,1.078807258,0.996,0.997,0,Tprimed,Malat1
Txk,0,1.078296948,0.59,0.397,0,Tprimed,Txk
Zfhx2,2.99E-59,1.077981923,0.103,0.05,9.90E-55,Tprimed,Zfhx2
Lmo4,2.10E-76,1.070297075,0.146,0.075,6.97E-72,Tprimed,Lmo4
Platr17,7.63E-11,1.069523829,0.019,0.009,2.53E-06,Tprimed,Platr17
Zfp516,3.54E-11,1.063139473,0.018,0.008,1.17E-06,Tprimed,Zfp516
Smad7,0,1.06255591,0.61,0.408,0,Tprimed,Smad7
Tmem88,2.14E-08,1.057915359,0.014,0.007,0.000710355,Tprimed,Tmem88
Papd7,1.10E-21,1.055267154,0.048,0.026,3.63E-17,Tprimed,Papd7
D3Ertd254e,3.88E-10,1.052063673,0.021,0.011,1.29E-05,Tprimed,D3Ertd254e
Hs3st3b1,1.26E-53,1.049903443,0.082,0.037,4.18E-49,Tprimed,Hs3st3b1
mt-Atp6,0,1.041768165,0.994,0.995,0,Tprimed,mt-Atp6
Rps21,0,1.041221449,0.988,0.986,0,Tprimed,Rps21
Rnf122,2.23E-37,1.04110888,0.059,0.027,7.38E-33,Tprimed,Rnf122
Mgat4a,7.67E-59,1.037742043,0.113,0.057,2.54E-54,Tprimed,Mgat4a
Gm26532,4.41E-44,1.036294947,0.081,0.04,1.46E-39,Tprimed,Gm26532
Fam46a,3.72E-130,1.03599566,0.235,0.121,1.23E-125,Tprimed,Fam46a
Samd3,6.79E-80,1.032439014,0.151,0.077,2.25E-75,Tprimed,Samd3
Gm36445,2.70E-08,1.028754329,0.017,0.009,0.000896239,Tprimed,Gm36445
Arl4c,0,1.027062643,0.736,0.487,0,Tprimed,Arl4c
Afdn,2.26E-14,1.021454673,0.031,0.017,7.48E-10,Tprimed,Afdn
Fam105a,3.70E-207,1.013049874,0.368,0.197,1.23E-202,Tprimed,Fam105a
Mettl13,1.18E-22,1.012811365,0.054,0.03,3.92E-18,Tprimed,Mettl13
Rab4a,1.68E-18,1.011748608,0.047,0.026,5.55E-14,Tprimed,Rab4a
2810474O19Rik,9.40E-148,0.997821459,0.317,0.181,3.12E-143,Tprimed,2810474O19Rik
Ccdc162,8.06E-18,0.996757151,0.028,0.013,2.67E-13,Tprimed,Ccdc162
Ggt1,1.22E-42,0.994111728,0.074,0.036,4.04E-38,Tprimed,Ggt1
Ampd3,6.79E-09,0.992523464,0.017,0.009,0.000225041,Tprimed,Ampd3
Fam46c,1.01E-59,0.991742475,0.124,0.065,3.33E-55,Tprimed,Fam46c
Gm13091,2.54E-08,0.988466762,0.012,0.006,0.000842292,Tprimed,Gm13091
Rack1,0,0.987038315,0.797,0.584,0,Tprimed,Rack1
Nacc2,2.14E-20,0.985093413,0.027,0.011,7.09E-16,Tprimed,Nacc2
Trim30c,8.11E-32,0.983565562,0.042,0.018,2.69E-27,Tprimed,Trim30c
Auts2,1.96E-28,0.983202152,0.058,0.03,6.48E-24,Tprimed,Auts2
Car12,2.68E-10,0.981972305,0.033,0.021,8.90E-06,Tprimed,Car12
Kcnq1ot1,1.14E-111,0.977905708,0.351,0.236,3.77E-107,Tprimed,Kcnq1ot1
Celsr1,1.42E-42,0.977556221,0.078,0.039,4.71E-38,Tprimed,Celsr1
Akr1c13,2.30E-41,0.971704921,0.093,0.05,7.61E-37,Tprimed,Akr1c13
Gm26847,6.68E-07,0.970520192,0.013,0.007,0.022130572,Tprimed,Gm26847
Tsc22d1,7.25E-08,0.966947761,0.024,0.015,0.002402356,Tprimed,Tsc22d1
Gm20045,8.92E-09,0.966320857,0.015,0.007,0.000295688,Tprimed,Gm20045
Gm13166,3.51E-13,0.966082969,0.02,0.009,1.16E-08,Tprimed,Gm13166
Kctd12,9.43E-17,0.964767625,0.045,0.026,3.12E-12,Tprimed,Kctd12
Hotairm1,1.08E-08,0.963709534,0.014,0.007,0.000356362,Tprimed,Hotairm1
Icosl,1.16E-09,0.955170086,0.019,0.01,3.84E-05,Tprimed,Icosl
Skiv2l2,1.61E-64,0.95496173,0.159,0.091,5.32E-60,Tprimed,Skiv2l2
Ttll3,4.08E-20,0.954007324,0.046,0.025,1.35E-15,Tprimed,Ttll3
Gm15706,3.65E-10,0.950108039,0.029,0.018,1.21E-05,Tprimed,Gm15706
Tmem250-ps,1.36E-29,0.948462776,0.056,0.028,4.49E-25,Tprimed,Tmem250-ps
Gm9889,1.26E-10,0.947306219,0.022,0.012,4.18E-06,Tprimed,Gm9889
Slc38a2,3.41E-201,0.942541879,0.552,0.411,1.13E-196,Tprimed,Slc38a2
Zfp318,1.16E-67,0.941324368,0.155,0.085,3.83E-63,Tprimed,Zfp318
9930111J21Rik2,2.88E-164,0.941132907,0.339,0.188,9.54E-160,Tprimed,9930111J21Rik2
Frat1,6.30E-42,0.937965489,0.067,0.031,2.09E-37,Tprimed,Frat1
Amd2,1.29E-28,0.937792968,0.053,0.026,4.28E-24,Tprimed,Amd2
Bicral,9.63E-32,0.937303679,0.056,0.027,3.19E-27,Tprimed,Bicral
Disc1,2.23E-15,0.93545222,0.034,0.019,7.39E-11,Tprimed,Disc1
Jrkl,5.43E-09,0.934209012,0.019,0.01,0.000180001,Tprimed,Jrkl
Igip,1.03E-13,0.933702447,0.018,0.008,3.40E-09,Tprimed,Igip
Kdm6b,3.99E-96,0.933385392,0.268,0.166,1.32E-91,Tprimed,Kdm6b
Mast4,4.61E-41,0.933364011,0.073,0.035,1.53E-36,Tprimed,Mast4
Mrm3,2.85E-38,0.922982061,0.073,0.036,9.44E-34,Tprimed,Mrm3
Cxcr4,1.10E-53,0.921849768,0.126,0.069,3.63E-49,Tprimed,Cxcr4
Narfl,1.20E-20,0.920732442,0.048,0.026,3.98E-16,Tprimed,Narfl
Nr1d1,3.17E-07,0.91886948,0.011,0.005,0.010518594,Tprimed,Nr1d1
Cebpb,1.14E-112,0.91796168,0.325,0.205,3.79E-108,Tprimed,Cebpb
2310035C23Rik,1.61E-65,0.917170849,0.166,0.096,5.32E-61,Tprimed,2310035C23Rik
Sbsn,4.28E-08,0.912966386,0.012,0.006,0.001418505,Tprimed,Sbsn
Gpr146,4.31E-74,0.911638669,0.158,0.084,1.43E-69,Tprimed,Gpr146
Arhgap27os2,9.63E-07,0.909950053,0.011,0.005,0.031901831,Tprimed,Arhgap27os2
1110034G24Rik,1.33E-52,0.908337318,0.106,0.055,4.42E-48,Tprimed,1110034G24Rik
Gigyf1,2.72E-79,0.907601631,0.16,0.084,9.02E-75,Tprimed,Gigyf1
Gm17056,4.65E-14,0.906161055,0.035,0.02,1.54E-09,Tprimed,Gm17056
A530017D24Rik,1.77E-15,0.900600183,0.03,0.015,5.86E-11,Tprimed,A530017D24Rik
Epop,1.88E-30,0.900313054,0.083,0.048,6.23E-26,Tprimed,Epop
Col23a1,1.90E-08,0.900270301,0.022,0.013,0.00063031,Tprimed,Col23a1
Gm26982,1.13E-06,0.893828984,0.018,0.011,0.037339457,Tprimed,Gm26982
Ski,3.70E-79,0.892466538,0.188,0.105,1.23E-74,Tprimed,Ski
Jun,6.18E-187,0.890550902,0.577,0.433,2.05E-182,Tprimed,Jun
Fam35a,9.09E-13,0.889414232,0.035,0.02,3.01E-08,Tprimed,Fam35a
Slc25a36,1.57E-90,0.888852438,0.264,0.164,5.21E-86,Tprimed,Slc25a36
Sidt1,1.28E-226,0.882401203,0.466,0.271,4.25E-222,Tprimed,Sidt1
Tmem267,9.09E-10,0.881123076,0.018,0.009,3.01E-05,Tprimed,Tmem267
Tspan9,3.34E-13,0.880499946,0.027,0.014,1.11E-08,Tprimed,Tspan9
1810022K09Rik,1.37E-170,0.8768603,0.376,0.218,4.54E-166,Tprimed,1810022K09Rik
Qrfp,1.38E-15,0.876116318,0.056,0.035,4.57E-11,Tprimed,Qrfp
Tnfrsf25,6.44E-46,0.875264635,0.085,0.042,2.13E-41,Tprimed,Tnfrsf25
Ampd1,3.42E-11,0.874524524,0.035,0.021,1.13E-06,Tprimed,Ampd1
Pogk,6.43E-20,0.872133151,0.058,0.034,2.13E-15,Tprimed,Pogk
C130026I21Rik,1.83E-08,0.865538852,0.021,0.012,0.000605521,Tprimed,C130026I21Rik
Gm10827,9.89E-10,0.864870665,0.03,0.018,3.28E-05,Tprimed,Gm10827
