,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
"pT06 (MHCII, IFNg)",0,0.939039843,0.786,0.402,0,0,"pT06 (MHCII, IFNg)"
ATP5H,7.76E-286,0.938129384,0.356,0.184,4.31E-281,0,ATP5H
"pB02 (Fos, Jun)",0,0.936905409,0.803,0.427,0,0,"pB02 (Fos, Jun)"
pS04,0,0.931748114,0.803,0.423,0,0,pS04
PHGDH,2.32E-75,0.931676523,0.227,0.156,1.29E-70,0,PHGDH
pM03 (glycolysis),0,0.931434621,0.607,0.31,0,0,pM03 (glycolysis)
EVI2B,0,0.931141639,0.709,0.51,0,0,EVI2B
UBE2L6,2.88E-95,0.93111466,0.349,0.27,1.60E-90,0,UBE2L6
SERPINB6,6.32E-69,0.92758239,0.209,0.142,3.51E-64,0,SERPINB6
RTFDC1,5.29E-92,0.925192485,0.161,0.089,2.94E-87,0,RTFDC1
C14orf166,0,0.924947538,0.435,0.229,0,0,C14orf166
RP11-640M9.1,4.60E-215,0.922673265,0.257,0.126,2.55E-210,0,RP11-640M9.1
RP11-596C23.2,1.35E-119,0.92157865,0.18,0.095,7.48E-115,0,RP11-596C23.2
pT19 (ISGs),0,0.921396604,0.742,0.386,0,0,pT19 (ISGs)
pM19,0,0.920966104,0.801,0.413,0,0,pM19
TMEM93,2.09E-154,0.920679807,0.233,0.125,1.16E-149,0,TMEM93
pEpip05,0,0.918994041,0.804,0.428,0,0,pEpip05
UNC93B1,1.20E-58,0.918421762,0.279,0.222,6.66E-54,0,UNC93B1
ATPIF1,0,0.917141881,0.515,0.264,0,0,ATPIF1
ATP5L,0,0.916692811,0.783,0.41,0,0,ATP5L
ID3,1.28E-38,0.913841234,0.162,0.117,7.11E-34,0,ID3
LAMP2,9.72E-189,0.912567835,0.471,0.356,5.40E-184,0,LAMP2
C11orf73,3.46E-138,0.910345058,0.224,0.123,1.92E-133,0,C11orf73
H1FX,0,0.909329359,0.757,0.567,0,0,H1FX
KIAA0125,2.04E-177,0.906920311,0.254,0.132,1.13E-172,0,KIAA0125
pEpid04,0,0.906678996,0.79,0.398,0,0,pEpid04
pEpip02 (metallothionein),0,0.904980516,0.804,0.429,0,0,pEpip02 (metallothionein)
CCDC56,9.15E-150,0.9037024,0.208,0.106,5.08E-145,0,CCDC56
15-Sep,0,0.902519841,0.462,0.243,0,0,15-Sep
ATP5G2,0,0.900921231,0.736,0.374,0,0,ATP5G2
ALG8,4.13E-36,0.899214299,0.181,0.137,2.29E-31,0,ALG8
HMCES,9.47E-70,0.899141318,0.331,0.271,5.26E-65,0,HMCES
ATP5J2,0,0.898245488,0.474,0.237,0,0,ATP5J2
MAGED2,5.08E-62,0.89737874,0.326,0.268,2.82E-57,0,MAGED2
C12orf10,3.92E-16,0.896443464,0.158,0.133,2.18E-11,0,C12orf10
LYRM5,9.69E-101,0.896122055,0.165,0.089,5.38E-96,0,LYRM5
ATP5F1,1.58E-221,0.887213825,0.324,0.177,8.77E-217,0,ATP5F1
ATP5D,0,0.885691451,0.664,0.339,0,0,ATP5D
"pT01 (Fos, Jun)",0,0.885645058,0.794,0.416,0,0,"pT01 (Fos, Jun)"
pT03 (prolif),0,0.885211359,0.589,0.279,0,0,pT03 (prolif)
C20orf24,2.88E-145,0.885035659,0.247,0.14,1.60E-140,0,C20orf24
pEpip32,0,0.884704948,0.8,0.418,0,0,pEpip32
PLA2G16,1.26E-52,0.883549344,0.245,0.187,6.98E-48,0,PLA2G16
WNT10A,2.40E-37,0.879229441,0.226,0.18,1.33E-32,0,WNT10A
pEpid13 (glycolysis),0,0.87916057,0.573,0.295,0,0,pEpid13 (glycolysis)
pEpid14 (Tuft-like),0,0.87854518,0.804,0.432,0,0,pEpid14 (Tuft-like)
pEpip09,0,0.878104457,0.784,0.398,0,0,pEpip09
MESDC2,2.64E-190,0.877677244,0.288,0.157,1.46E-185,0,MESDC2
C15orf57,4.16E-129,0.876332859,0.209,0.114,2.31E-124,0,C15orf57
ABHD14A,3.43E-83,0.876051969,0.257,0.181,1.91E-78,0,ABHD14A
pEpi27,0,0.875860128,0.803,0.426,0,0,pEpi27
KARS,1.99E-74,0.875378269,0.253,0.181,1.10E-69,0,KARS
"pEpid01 (Fos, Jun)",0,0.87358427,0.803,0.424,0,0,"pEpid01 (Fos, Jun)"
TMEM101,4.50E-30,0.873344181,0.224,0.185,2.50E-25,0,TMEM101
KANK1,1.41E-61,0.871017395,0.172,0.113,7.85E-57,0,KANK1
PSAT1,7.18E-36,0.870694499,0.192,0.147,3.98E-31,0,PSAT1
AIG1,6.78E-83,0.867955418,0.317,0.241,3.76E-78,0,AIG1
MYEOV2,0,0.866720968,0.415,0.22,0,0,MYEOV2
pEpi08,0,0.863833619,0.778,0.399,0,0,pEpi08
pEpid12,0,0.862676702,0.803,0.424,0,0,pEpid12
C11orf1,4.12E-35,0.862000925,0.24,0.197,2.29E-30,0,C11orf1
"pEpi03 (Fos, Jun)",0,0.859499103,0.798,0.417,0,0,"pEpi03 (Fos, Jun)"
ALDH2,4.30E-29,0.859327693,0.166,0.128,2.39E-24,0,ALDH2
ECI1,6.94E-42,0.859066329,0.253,0.208,3.85E-37,0,ECI1
CD48,0,0.856405989,0.64,0.484,0,0,CD48
ITGB7,8.12E-163,0.854377852,0.471,0.368,4.51E-158,0,ITGB7
pEpid10 (G2 phase),0,0.852557682,0.725,0.357,0,0,pEpid10 (G2 phase)
ATP5C1,8.21E-215,0.851587104,0.321,0.175,4.56E-210,0,ATP5C1
AP3S1,1.55E-254,0.850601305,0.561,0.429,8.60E-250,0,AP3S1
ATP5J,0,0.848681427,0.544,0.285,0,0,ATP5J
GSTO1,4.83E-43,0.848598166,0.26,0.212,2.68E-38,0,GSTO1
AGA,1.87E-30,0.84845213,0.256,0.22,1.04E-25,0,AGA
ERP44,1.93E-156,0.848410957,0.48,0.385,1.07E-151,0,ERP44
pEpip20,0,0.848049865,0.801,0.414,0,0,pEpip20
CERCAM,4.04E-19,0.844437965,0.184,0.154,2.24E-14,0,CERCAM
pT17,0,0.843648842,0.802,0.422,0,0,pT17
C14orf2,0,0.842839011,0.629,0.328,0,0,C14orf2
RNASET2,0,0.84080234,0.728,0.573,0,0,RNASET2
VKORC1,4.52E-164,0.838540807,0.407,0.293,2.51E-159,0,VKORC1
"pEpip25 (Fos, Jun)",0,0.836045198,0.793,0.413,0,0,"pEpip25 (Fos, Jun)"
USMG5,0,0.835680208,0.567,0.299,0,0,USMG5
pM21 (ISGs),7.50E-128,0.835397821,0.309,0.195,4.16E-123,0,pM21 (ISGs)
PYCR2,9.57E-29,0.83512151,0.187,0.149,5.31E-24,0,PYCR2
HOMER3,1.91E-48,0.83436823,0.183,0.129,1.06E-43,0,HOMER3
CTSA,3.32E-36,0.833274715,0.255,0.213,1.84E-31,0,CTSA
"pEpid26 (mitochondrial genes, MUC4)",0,0.830681745,0.804,0.434,0,0,"pEpid26 (mitochondrial genes, MUC4)"
DPM1,4.72E-55,0.829521207,0.255,0.196,2.62E-50,0,DPM1
KDELR3,3.35E-21,0.827717154,0.158,0.126,1.86E-16,0,KDELR3
TMBIM4,0,0.826838097,0.613,0.424,0,0,TMBIM4
VIMP,0,0.826154013,0.727,0.38,0,0,VIMP
CD47,5.19E-183,0.825092148,0.499,0.388,2.88E-178,0,CD47
C19orf60,1.35E-255,0.825032017,0.361,0.195,7.48E-251,0,C19orf60
COMMD3,8.99E-273,0.824734661,0.552,0.406,4.99E-268,0,COMMD3
C19orf43,0,0.824163959,0.505,0.269,0,0,C19orf43
ALG5,0,0.823331027,0.636,0.495,0,0,ALG5
C11orf31,0,0.823121763,0.483,0.257,0,0,C11orf31
ATP5G3,0,0.821849459,0.523,0.277,0,0,ATP5G3
THYN1,4.40E-13,0.819557929,0.163,0.142,2.45E-08,0,THYN1
ATP5E,0,0.818211218,0.776,0.408,0,0,ATP5E
pP03,0,0.817697258,0.741,0.371,0,0,pP03
pEpip14,0,0.817080167,0.797,0.419,0,0,pEpip14
SLC16A3,5.32E-12,0.816163189,0.17,0.15,2.96E-07,0,SLC16A3
"pS21 (Fos, Jun)",0,0.815065791,0.8,0.421,0,0,"pS21 (Fos, Jun)"
CETN2,6.38E-21,0.814367985,0.158,0.128,3.54E-16,0,CETN2
HNRNPH2,2.63E-29,0.813902937,0.166,0.129,1.46E-24,0,HNRNPH2
CNIH4,1.31E-26,0.812754521,0.188,0.152,7.26E-22,0,CNIH4
SLC39A8,3.68E-51,0.811616762,0.25,0.193,2.04E-46,0,SLC39A8
BEX2,2.12E-24,0.810991708,0.172,0.137,1.18E-19,0,BEX2
C16orf13,2.06E-132,0.810634986,0.238,0.136,1.14E-127,0,C16orf13
pT15 (HSPs),0,0.810237201,0.686,0.354,0,0,pT15 (HSPs)
GGH,1.76E-24,0.80963882,0.174,0.14,9.77E-20,0,GGH
EDEM2,9.72E-79,0.809548217,0.384,0.321,5.40E-74,0,EDEM2
MRPL36,1.81E-52,0.807009302,0.308,0.255,1.01E-47,0,MRPL36
"pEpi43 (SPINK4, XBP1)",0,0.806842827,0.795,0.418,0,0,"pEpi43 (SPINK4, XBP1)"
TNFRSF17,0,0.806606224,0.936,0.75,0,0,TNFRSF17
PARL,5.80E-41,0.805921487,0.171,0.124,3.22E-36,0,PARL
pP07,0,0.805353457,0.595,0.315,0,0,pP07
MGST3,3.09E-253,0.803304837,0.575,0.446,1.71E-248,0,MGST3
pMA01,0,0.802750449,0.804,0.429,0,0,pMA01
VSIR,1.92E-108,0.801639538,0.451,0.38,1.07E-103,0,VSIR
METTL9,3.53E-87,0.800977561,0.384,0.311,1.96E-82,0,METTL9
pM12 (HSPs),0,0.800946131,0.706,0.365,0,0,pM12 (HSPs)
SARS,5.67E-88,0.800013508,0.387,0.318,3.15E-83,0,SARS
PSENEN,1.08E-139,0.799687816,0.452,0.357,5.98E-135,0,PSENEN
THEMIS2,4.90E-63,0.798071206,0.329,0.271,2.72E-58,0,THEMIS2
pEpid07 (Reg family genes),0,0.797995658,0.715,0.362,0,0,pEpid07 (Reg family genes)
NENF,1.06E-237,0.79634965,0.571,0.455,5.91E-233,0,NENF
HSD17B8,3.84E-72,0.795368588,0.377,0.317,2.13E-67,0,HSD17B8
EMC4,5.11E-113,0.795057567,0.448,0.372,2.84E-108,0,EMC4
NSMCE1,2.47E-15,0.793640681,0.193,0.17,1.37E-10,0,NSMCE1
SPAG4,5.49E-189,0.793112481,0.524,0.42,3.05E-184,0,SPAG4
EIF3D,9.65E-212,0.792113131,0.555,0.438,5.36E-207,0,EIF3D
BST2,0,0.791864992,0.744,0.611,0,0,BST2
GARS,2.19E-25,0.788852349,0.267,0.237,1.21E-20,0,GARS
TAPBPL,8.28E-69,0.787173055,0.383,0.327,4.60E-64,0,TAPBPL
RPS10,0,0.787125158,0.905,0.737,0,0,RPS10
BCKDK,5.63E-31,0.786859009,0.292,0.258,3.12E-26,0,BCKDK
PEPD,2.29E-07,0.786758985,0.169,0.157,0.012742036,0,PEPD
PIGK,4.38E-20,0.783669675,0.171,0.142,2.43E-15,0,PIGK
CHPT1,2.20E-47,0.780931927,0.21,0.156,1.22E-42,0,CHPT1
HSD17B10,1.91E-69,0.77833283,0.352,0.29,1.06E-64,0,HSD17B10
ANXA7,5.28E-66,0.777233604,0.37,0.313,2.93E-61,0,ANXA7
ICAM3,0,0.777168167,0.73,0.601,0,0,ICAM3
DHRS7,2.95E-93,0.775645366,0.431,0.364,1.64E-88,0,DHRS7
PPA2,2.20E-22,0.775366511,0.208,0.176,1.22E-17,0,PPA2
CAPG,8.13E-21,0.773941486,0.162,0.131,4.52E-16,0,CAPG
C17orf89,2.36E-175,0.773731855,0.298,0.169,1.31E-170,0,C17orf89
CD53,3.49E-117,0.773082283,0.454,0.372,1.94E-112,0,CD53
MRPL24,1.80E-30,0.772261021,0.24,0.201,1.00E-25,0,MRPL24
pP09,0,0.772236241,0.647,0.368,0,0,pP09
PARVB,5.16E-16,0.7721997,0.23,0.208,2.86E-11,0,PARVB
RSL24D1,0,0.771506397,0.671,0.527,0,0,RSL24D1
PAIP2B,8.56E-79,0.770896024,0.319,0.242,4.75E-74,0,PAIP2B
QPCT,2.57E-26,0.770471821,0.202,0.166,1.42E-21,0,QPCT
HTRA2,5.59E-26,0.769999529,0.214,0.178,3.10E-21,0,HTRA2
FBL,2.59E-108,0.769326216,0.407,0.32,1.44E-103,0,FBL
IL2RG,1.10E-160,0.768609814,0.498,0.4,6.10E-156,0,IL2RG
CREG1,1.62E-22,0.768283535,0.186,0.152,8.98E-18,0,CREG1
NME1,3.12E-96,0.76813615,0.389,0.311,1.73E-91,0,NME1
SEM1,6.31E-182,0.767994235,0.522,0.416,3.50E-177,0,SEM1
FAM174A,7.04E-46,0.767834773,0.305,0.256,3.91E-41,0,FAM174A
CNPY2,0,0.765838147,0.648,0.493,0,0,CNPY2
TMEM205,7.97E-175,0.765693275,0.531,0.438,4.43E-170,0,TMEM205
PIN4,7.46E-36,0.764756593,0.236,0.192,4.14E-31,0,PIN4
SNHG7,5.07E-70,0.76366686,0.323,0.258,2.81E-65,0,SNHG7
NDUFC2,0,0.763355694,0.638,0.466,0,0,NDUFC2
CAMLG,2.89E-68,0.762864108,0.329,0.262,1.61E-63,0,CAMLG
NDUFB8,1.38E-181,0.762471528,0.462,0.342,7.64E-177,0,NDUFB8
RPL36A,0,0.761423779,0.926,0.77,0,0,RPL36A
EIF3L,0,0.761387894,0.714,0.561,0,0,EIF3L
ABCB9,2.46E-90,0.761371431,0.338,0.257,1.36E-85,0,ABCB9
PIGT,8.74E-23,0.760982751,0.279,0.253,4.85E-18,0,PIGT
ENAM,2.94E-57,0.760139595,0.189,0.129,1.63E-52,0,ENAM
ATRAID,2.56E-300,0.758479272,0.657,0.545,1.42E-295,0,ATRAID
C6orf48,1.86E-111,0.757838521,0.332,0.234,1.03E-106,0,C6orf48
CKLF,1.75E-139,0.75777708,0.438,0.335,9.71E-135,0,CKLF
TSEN34,2.04E-11,0.756430643,0.2,0.182,1.13E-06,0,TSEN34
PCBD1,4.10E-36,0.75611374,0.294,0.252,2.28E-31,0,PCBD1
CHMP3,6.44E-16,0.755137346,0.168,0.143,3.58E-11,0,CHMP3
SLC3A2,9.43E-110,0.754416146,0.491,0.432,5.23E-105,0,SLC3A2
pEpid20,0,0.753375853,0.798,0.422,0,0,pEpid20
NAGK,4.40E-41,0.753210004,0.277,0.232,2.44E-36,0,NAGK
LAPTM4A,5.51E-195,0.752768557,0.564,0.466,3.06E-190,0,LAPTM4A
SURF1,1.40E-107,0.751622068,0.461,0.389,7.79E-103,0,SURF1
ARPC1A,5.40E-58,0.751159045,0.224,0.163,3.00E-53,0,ARPC1A
TMEM147,1.32E-231,0.750116909,0.602,0.491,7.30E-227,0,TMEM147
pEpid17 (inflammatory chemokines),6.00E-170,3.075213676,0.164,0.062,3.33E-165,1,pEpid17 (inflammatory chemokines)
"pEpi35 (CLCA1, TFF3, SPINK1)",4.31E-79,2.020305933,0.217,0.134,2.39E-74,1,"pEpi35 (CLCA1, TFF3, SPINK1)"
"pEpi39 (SEPP1, SLC26A3)",4.38E-79,1.896081405,0.159,0.084,2.43E-74,1,"pEpi39 (SEPP1, SLC26A3)"
pEpi26,8.88E-38,1.516505652,0.151,0.099,4.93E-33,1,pEpi26
pM13,1.95E-25,1.733240702,0.241,0.203,1.09E-20,1,pM13
IGLL5,3.94E-24,1.40447332,0.34,0.406,2.19E-19,1,IGLL5
IGHG1,2.22E-23,0.948381274,0.401,0.362,1.23E-18,1,IGHG1
IGHG2,3.76E-22,1.008427936,0.286,0.233,2.09E-17,1,IGHG2
IGHG4,3.13E-18,1.20920469,0.284,0.237,1.74E-13,1,IGHG4
pMA03,1.01E-14,1.42830667,0.223,0.196,5.62E-10,1,pMA03
pP05,7.10E-13,0.835299018,0.367,0.484,3.94E-08,1,pP05
IGKV4-1,3.31E-10,1.107965314,0.282,0.32,1.84E-05,1,IGKV4-1
IGHV4-39,1.87E-09,1.206065517,0.136,0.169,0.000103911,1,IGHV4-39
IGLV6-57,2.41E-07,1.104861082,0.248,0.272,0.013382911,1,IGLV6-57
SIK1B,1.88E-296,2.36899126,0.153,0.034,1.05E-291,2,SIK1B
BAG3,3.00E-197,2.015101913,0.195,0.07,1.66E-192,2,BAG3
CARMIL1,3.95E-231,1.993683615,0.186,0.059,2.19E-226,2,CARMIL1
H3-3B,1.26E-223,1.932792413,0.193,0.065,7.02E-219,2,H3-3B
Z93241.1,4.31E-254,1.798331485,0.255,0.096,2.39E-249,2,Z93241.1
HSPA1B,1.45E-135,1.791814815,0.517,0.379,8.04E-131,2,HSPA1B
MIR4435-2HG,8.03E-148,1.774194679,0.211,0.094,4.46E-143,2,MIR4435-2HG
PELI1,0,1.748925611,0.534,0.24,0,2,PELI1
AC103591.3,5.03E-159,1.732138486,0.166,0.062,2.79E-154,2,AC103591.3
HIST1H2BK,1.77E-171,1.718146726,0.184,0.07,9.83E-167,2,HIST1H2BK
IGKV1-9,7.79E-41,1.667088405,0.17,0.108,4.33E-36,2,IGKV1-9
PTPRCAP,6.57E-169,1.653477949,0.195,0.078,3.65E-164,2,PTPRCAP
HSPA1A,7.74E-143,1.632990726,0.453,0.308,4.30E-138,2,HSPA1A
IGHV3-33,8.76E-33,1.609601586,0.156,0.102,4.86E-28,2,IGHV3-33
ATP2B1-AS1,3.77E-194,1.603526622,0.206,0.078,2.09E-189,2,ATP2B1-AS1
AC020916.1,1.62E-268,1.592830934,0.233,0.078,8.98E-264,2,AC020916.1
DDX3Y,1.31E-290,1.590139824,0.186,0.049,7.25E-286,2,DDX3Y
DUSP2,0,1.589085232,0.445,0.199,0,2,DUSP2
SIK1,3.77E-235,1.577648502,0.182,0.055,2.09E-230,2,SIK1
LMNA,0,1.57291323,0.72,0.363,0,2,LMNA
NBPF14,1.37E-124,1.568921205,0.171,0.074,7.61E-120,2,NBPF14
PECAM1,0,1.561805282,0.322,0.123,0,2,PECAM1
ETFRF1,6.93E-157,1.543299599,0.17,0.064,3.85E-152,2,ETFRF1
PIP4P1,5.20E-142,1.512104735,0.168,0.067,2.89E-137,2,PIP4P1
KLF6,0,1.503885021,0.862,0.562,0,2,KLF6
RHOB,0,1.496132811,0.529,0.267,0,2,RHOB
GADD45B,0,1.46112603,0.533,0.256,0,2,GADD45B
